DoB,SApM,SLpM,height,name,reach,record,stance,strAcc,strDef,subAvg,tdAcc,tdAvg,tdDef,weight
Oct 25 1988,4.82,5.75,"6' 3""",Jake Collier,78,13-8-0,Orthodox,43%,50%,0.5,35%,0.89,67%,230
--,0.00,0.00,"5' 9""",Bob Cook,,5-0-0,Orthodox,0%,0%,0.0,0%,0.00,0%,170
--,0.00,0.00,--,Chris Coggins,,7-10-0,,0%,0%,0.0,0%,0.00,0%,--
--,2.90,5.80,"6' 3""",Mychal Clark,,10-14-0,Orthodox,56%,59%,0.0,0%,0.00,0%,224
Feb 07 1989,8.28,2.99,"5' 9""",Gleidson Cutis,,7-4-0,Orthodox,52%,59%,0.0,0%,0.00,0%,155
Nov 28 1987,3.59,4.02,"5' 5""",Jessica-Rose Clark,64,11-8-0 (1 NC),Orthodox,52%,59%,0.3,52%,1.76,63%,135
Dec 27 1996,0.00,0.00,"5' 7""",Paul Capaldo,,6-0-0,,0%,0%,0.0,0%,0.00,0%,135
--,0.00,0.00,"5' 8""",Cody Canterbury,,1-10-0,,0%,0%,0.0,0%,0.00,0%,155
--,0.00,0.00,--,Frank Caracci,,2-3-0,,0%,0%,0.0,0%,0.00,0%,--
Jul 27 1986,1.84,1.94,"6' 3""",Rafael Carvalho,,14-1-0,,50%,54%,0.0,40%,2.77,70%,185
May 30 1979,3.62,3.03,"5' 9""",Antonio Carvalho,70,15-6-0,Orthodox,29%,64%,0.0,0%,0.00,100%,145
--,3.68,0.00,"5' 11""",Brian Cobb,,20-9-0,Orthodox,0%,55%,0.0,50%,5.81,0%,155
Mar 25 1986,0.00,0.00,--,Chris Culley,,20-15-0,,0%,0%,0.0,0%,0.00,0%,145
Oct 11 1981,1.64,2.22,"6' 3""",Francis Carmont,78,25-12-0,Orthodox,42%,59%,0.6,36%,1.79,73%,205
Nov 27 1981,6.68,4.82,"5' 11""",Rashad Coulter,76,9-4-0,Orthodox,56%,50%,0.0,0%,0.00,62%,205
Dec 15 1984,0.00,0.00,"5' 10""",Jared Chaffee,,5-2-0,,0%,0%,0.0,0%,0.00,0%,155
Sep 20 1989,8.88,7.58,"6' 0""",Aalon Cruz,78,8-4-0,Switch,39%,58%,0.0,0%,0.00,0%,145
Jun 24 1993,4.94,3.33,"6' 2""",Alton Cunningham,77,4-2-0,Orthodox,75%,20%,0.0,10%,1.67,100%,205
Jun 11 1985,2.98,2.88,"5' 8""",Daron Cruickshank,72,18-10-0 (1 NC),Switch,38%,57%,0.2,41%,2.04,60%,155
Jun 11 1993,3.55,4.64,"5' 6""",Luana Carolina,69,8-3-0,Orthodox,50%,47%,1.0,0%,0.00,82%,125
May 05 1984,0.00,0.00,--,Bill Cooper,,2-1-0,,0%,0%,0.0,0%,0.00,0%,155
May 17 1994,6.80,12.29,"5' 6""",JR Coughran,,4-1-0,Orthodox,57%,45%,0.0,0%,0.00,75%,145
Jan 15 1986,3.01,2.39,"6' 1""",Andrew Craig,76,9-4-0,Orthodox,40%,50%,0.0,37%,0.53,72%,170
--,0.00,0.00,"5' 8""",Eric Castile,,3-2-0,,0%,0%,0.0,0%,0.00,0%,145
Oct 28 1979,4.62,0.51,"6' 0""",Mike Ciesnolevicz,,19-4-0 (1 NC),Orthodox,50%,57%,5.1,0%,0.00,20%,235
Dec 14 1993,3.30,4.43,"6' 1""",Ion Cutelaba,75,16-9-1 (1 NC),Southpaw,42%,47%,0.0,57%,4.70,77%,205
Apr 24 1989,0.00,0.00,--,Coltin Cole,,4-5-0,,0%,0%,0.0,0%,0.00,0%,185
Feb 12 1992,1.27,1.73,"5' 8""",Hailey Cowan,67,7-2-0,Southpaw,42%,52%,0.0,100%,1.00,75%,135
Mar 29 1983,4.48,4.41,"6' 1""",Donald Cerrone,73,36-17-0 (2 NC),Orthodox,46%,53%,1.2,33%,1.16,73%,155
Dec 18 1975,2.31,12.12,"5' 8""",Kim Couture,,3-8-0,Orthodox,80%,69%,0.0,0%,0.00,0%,135
Aug 02 1968,1.69,0.56,"5' 10""",Jeff Cox,,10-7-0,Orthodox,25%,33%,0.0,50%,4.23,80%,155
Jan 27 1996,5.27,3.40,"5' 7""",Edgar Chairez,,8-4-0,Orthodox,40%,48%,0.0,0%,0.00,50%,125
Mar 05 1983,4.82,3.96,"6' 0""",Chris Cope,72,8-4-0,Orthodox,26%,50%,0.0,0%,0.00,80%,170
May 03 1972,2.32,1.62,"5' 10""",Shonie Carter,,51-31-7 (1 NC),Southpaw,36%,47%,0.0,66%,0.75,75%,170
Jun 04 1991,5.17,3.97,"5' 8""",Carlos Candelario,68,8-3-0,Southpaw,46%,44%,0.3,36%,2.28,53%,125
May 18 1978,5.41,2.02,"5' 10""",Muhsin Corbbrey,,17-9-0,Orthodox,34%,53%,0.4,0%,0.00,80%,155
Sep 24 1985,3.51,2.82,"6' 2""",Dan Charles,,10-6-1,,45%,44%,0.0,0%,0.00,31%,228
--,1.47,2.27,--,Remo Cardarelli,,7-5-0,,47%,59%,0.0,0%,0.00,100%,135
Oct 30 1979,1.69,0.68,"5' 9""",Ansar Chalangov,,14-5-0,Orthodox,66%,54%,7.6,0%,0.00,0%,170
--,0.00,0.00,"5' 8""",Dave Courchaine,,20-7-0,,0%,0%,0.0,0%,0.00,0%,170
May 18 1989,7.44,6.56,"5' 10""",Frank Camacho,73,22-10-0,Orthodox,46%,51%,0.0,31%,1.11,73%,155
Feb 27 1987,3.06,3.86,"6' 3""",Misha Cirkunov,77,15-9-0,Orthodox,51%,57%,1.7,39%,4.15,76%,205
Aug 19 1988,7.85,4.68,"5' 7""",Priscila Cachoeira,65,12-4-0,Orthodox,43%,46%,0.0,33%,0.21,65%,125
Oct 25 1978,5.10,2.97,"5' 3""",Alex Chambers,63,5-5-0,Southpaw,54%,50%,1.0,41%,2.31,53%,115
Feb 05 1980,0.00,0.00,"5' 11""",Johnny Cisneros,,9-6-0,,0%,0%,0.0,0%,0.00,0%,170
--,0.00,0.00,"5' 10""",Asbel Cancio,,0-1-0,,0%,0%,0.0,0%,0.00,0%,225
--,0.00,0.00,--,Dewey Cooper,,2-1-0,,0%,0%,0.0,0%,0.00,0%,205
Mar 10 1972,5.00,0.31,"5' 9""",Joe Camacho,,13-19-3,Orthodox,17%,42%,0.0,0%,0.00,0%,155
Apr 21 1987,1.23,1.82,"5' 7""",Abel Cullum,,20-6-0,Orthodox,40%,46%,2.8,52%,4.01,0%,139
--,0.00,0.00,--,Ion Cherdivara,,1-1-0,,0%,0%,0.0,0%,0.00,0%,205
Jul 01 1980,4.02,2.76,"6' 5""",Christian Colombo,,8-3-1,Orthodox,44%,42%,0.0,0%,0.00,33%,265
--,0.00,0.00,"6' 1""",Joe Charles,,6-13-0,Southpaw,0%,0%,0.0,0%,0.00,0%,260
Oct 01 1976,2.14,3.50,"6' 4""",Devin Cole,,20-10-1,Orthodox,55%,48%,0.0,42%,2.18,66%,240
May 27 1981,2.23,3.35,"5' 3""",Chris Cariaso,64,17-8-0,Southpaw,43%,61%,0.8,39%,1.11,57%,125
Mar 31 1976,2.29,1.43,"5' 9""",Rich Clementi,72,45-23-1,Southpaw,37%,60%,1.1,42%,1.72,25%,155
Apr 21 1991,6.38,6.50,"6' 1""",Paulo Costa,72,14-2-0,Orthodox,60%,47%,0.0,75%,0.53,79%,185
Jul 31 1981,2.53,1.54,"5' 6""",Wagner Campos,,12-10-0,Southpaw,41%,51%,0.0,100%,2.71,0%,145
May 06 1993,3.85,2.55,"5' 8""",Spike Carlyle,71,9-3-0,Switch,54%,30%,0.5,36%,3.34,57%,145
Sep 27 1990,4.93,4.00,"5' 11""",Cameron Church,72,4-1-0,Orthodox,40%,50%,1.0,0%,0.00,60%,155
Aug 20 1997,4.74,6.17,"6' 1""",Gabriel Bonfim,72,13-0-0,Orthodox,38%,72%,3.6,100%,3.56,0%,170
Jan 21 1987,3.19,3.99,"6' 0""",Shane Campbell,71,14-6-0,Orthodox,59%,55%,0.0,28%,1.36,82%,155
Mar 04 1996,2.76,4.33,"6' 2""",Jimmy Crute,74,12-3-0,Orthodox,56%,50%,2.0,75%,4.87,60%,205
Jan 05 1979,2.54,1.13,"6' 0""",Mike Bronzoulis,,18-9-1,,34%,37%,0.0,0%,0.00,33%,155
Jun 26 1989,1.27,4.56,"6' 2""",Kenneth Bergh,74,8-0-0 (1 NC),Orthodox,75%,28%,0.0,0%,0.00,0%,205
Jan 16 1974,3.83,3.29,"6' 2""",Paul Buentello,77,35-17-0,Orthodox,45%,52%,0.4,33%,0.19,39%,245
Mar 12 1982,0.00,0.00,"5' 9""",Joe Benoit,,11-4-0,Orthodox,0%,100%,0.0,0%,0.00,0%,170
Jun 07 1983,1.39,2.82,"6' 2""",Ryan Bader,74,23-5-0,Orthodox,43%,71%,0.4,44%,3.37,80%,205
May 19 1997,3.09,1.24,"6' 1""",Justin Burlinson,74,6-1-0,Switch,40%,61%,9.3,0%,0.00,100%,170
Jul 24 1985,7.01,0.63,"6' 0""",Bubba Bush,,8-3-0 (1 NC),Orthodox,55%,25%,0.0,50%,2.82,60%,185
Jul 03 1992,4.66,9.31,"5' 10""",Dean Barry,72,4-2-0,Orthodox,40%,51%,0.0,0%,0.00,100%,170
Nov 23 1992,3.86,4.17,"5' 10""",Sean Brady,72,15-1-0,Orthodox,53%,62%,0.8,50%,2.80,87%,170
Jan 16 1993,1.60,2.36,"5' 10""",Caio Borralho,75,13-1-0 (1 NC),Southpaw,61%,60%,0.5,75%,2.23,50%,185
Mar 04 1987,4.04,3.12,"5' 4""",Talita Bernardo,68,6-4-0,Orthodox,42%,55%,0.5,22%,1.62,28%,135
Dec 08 1981,5.27,4.92,"6' 1""",Joey Beltran,75,17-14-0 (1 NC),Orthodox,36%,54%,0.0,18%,0.48,75%,185
--,0.00,0.00,"5' 9""",Jin Bala,,23-3-0,,0%,0%,0.0,0%,0.00,0%,155
Apr 13 1985,4.56,3.13,"6' 1""",Mehdi Baghdad,,11-5-0,Orthodox,30%,46%,0.0,0%,0.00,33%,155
May 09 1978,2.81,1.46,"6' 1""",Antwain Britt,77,11-6-0,,39%,44%,0.0,40%,1.56,50%,205
Feb 05 1996,4.88,2.09,"6' 3""",Rodolfo Bellato,75,8-2-0,Orthodox,42%,50%,1.7,33%,1.74,0%,205
--,0.00,0.00,--,Dave Berry,,0-1-0,,0%,0%,0.0,0%,0.00,0%,--
Dec 28 1995,3.00,5.67,"5' 8""",Ismael Bonfim,71,18-3-0,Orthodox,53%,80%,0.0,33%,1.00,100%,155
May 22 1982,3.63,3.63,"5' 11""",Galore Bofando,72,5-3-0,Switch,45%,54%,0.0,100%,2.37,50%,170
--,0.00,0.00,"5' 11""",Tai Bowden,,1-1-0,,0%,0%,0.0,0%,0.00,0%,230
Apr 01 1977,2.83,1.59,"6' 0""",Vitor Belfort,74,26-14-0 (1 NC),Southpaw,46%,50%,0.6,60%,1.02,53%,185
May 12 1984,1.76,3.76,"5' 9""",Junie Browning,,5-6-0,Orthodox,48%,66%,3.5,66%,3.53,0%,155
Apr 25 1992,3.27,2.63,"5' 5""",Rogerio Bontorin,67,16-4-0 (2 NC),Orthodox,52%,50%,1.0,60%,2.90,51%,125
Jul 17 1990,0.00,0.00,"5' 11""",Michael Byrnes,,5-3-0,,0%,0%,0.0,0%,0.00,0%,155
Mar 10 1980,0.00,0.00,--,Fernando Bettega,,7-5-0,,0%,0%,0.0,0%,0.00,0%,170
Apr 17 1984,3.23,2.91,"5' 11""",Siyar Bahadurzada,73,24-8-1,Orthodox,40%,49%,0.3,61%,1.32,62%,170
May 22 1990,2.69,3.40,"5' 9""",TJ Brown,72,17-9-0,Switch,44%,49%,1.6,56%,3.62,38%,145
Jan 10 1989,7.83,0.00,"5' 9""",Anvar Boynazarov,,3-1-0,Orthodox,0%,29%,0.0,0%,0.00,0%,145
Jul 08 1990,3.25,4.38,"6' 3""",Randy Brown,78,16-4-0,Orthodox,48%,54%,0.6,33%,0.69,71%,170
May 16 1986,3.67,3.93,"5' 8""",Anthony Birchak,69,16-8-0,Orthodox,36%,56%,0.5,14%,0.48,61%,135
May 22 1990,3.36,3.71,"5' 11""",Jonas Bilharinho,75,9-1-1,Switch,60%,57%,0.0,0%,0.00,100%,145
May 20 1973,3.26,1.00,"5' 11""",Steve Berger,,21-23-2 (1 NC),Orthodox,27%,36%,1.7,40%,0.84,16%,170
Jul 05 1983,4.62,1.76,"5' 6""",Edson Berto,,17-12-1,Orthodox,36%,47%,2.7,40%,5.47,0%,155
--,6.69,2.09,"5' 8""",Ian Butler,,3-3-0 (1 NC),,14%,36%,0.0,0%,0.00,50%,155
Feb 10 1994,4.54,3.59,"6' 3""",Modestas Bukauskas,78,11-5-0,Switch,37%,52%,0.0,0%,0.00,100%,205
Aug 22 1983,4.14,2.35,"6' 0""",Justin Buchholz,73,15-10-0,Orthodox,26%,51%,0.8,0%,0.00,33%,155
--,0.00,0.00,"6' 2""",Blake Bowman,,2-6-0,,0%,0%,0.0,0%,0.00,0%,170
--,0.47,0.47,"5' 10""",Marcos Bonilla,,4-4-0,,12%,94%,0.0,0%,0.00,0%,145
Feb 12 1974,0.00,0.00,"5' 11""",Jerry Bohlander,,11-4-0,Orthodox,0%,0%,0.0,0%,0.00,0%,199
--,0.00,0.00,"5' 9""",Francisco Bueno,,5-2-0,Orthodox,0%,0%,0.0,0%,0.00,0%,225
Dec 25 1984,4.86,3.66,"5' 10""",Damien Brown,68,17-12-0,Orthodox,38%,50%,0.7,27%,0.68,53%,155
Jan 10 1981,2.94,3.77,"6' 0""",Matt Brown,75,25-19-0,Orthodox,55%,54%,1.3,46%,1.71,64%,170
Nov 12 1974,5.71,3.49,"6' 3""",Aaron Brink,,26-26-0 (2 NC),Orthodox,42%,57%,0.0,0%,0.00,0%,205
Oct 22 1980,4.68,3.47,"5' 8""",Henry Briones,69,16-8-1,Orthodox,42%,53%,0.6,0%,0.00,52%,135
Jan 08 1992,3.29,3.36,"5' 11""",Viacheslav Borshchev,69,6-3-0,Orthodox,58%,50%,0.0,0%,0.00,31%,155
Jan 31 1987,3.90,3.78,"5' 6""",Renan Barao,70,34-9-0 (1 NC),Orthodox,36%,57%,0.5,41%,1.49,91%,145
Apr 28 1989,2.97,3.91,"5' 7""",Enrique Barzola,70,17-5-2,Orthodox,41%,68%,0.3,45%,4.20,66%,145
--,0.00,0.00,--,Michael Bravo,,7-4-0,,0%,0%,0.0,0%,0.00,0%,155
Feb 24 1982,1.78,1.75,"5' 6""",Fernando Bruno,,15-4-0,,39%,48%,0.5,22%,2.02,56%,145
Nov 11 1991,4.88,4.59,"6' 4""",Martin Buday,77,11-1-0,Orthodox,48%,55%,0.0,0%,0.00,0%,265
Jul 16 1994,2.68,2.92,"5' 10""",Manny Bermudez,71,14-2-0,Orthodox,61%,46%,3.1,54%,3.06,0%,145
Aug 04 1993,1.93,1.52,"5' 4""",Ray Borg,63,13-5-0,Orthodox,52%,48%,1.0,50%,3.89,46%,135
May 27 1977,2.80,2.47,"5' 9""",Kotetsu Boku,,25-11-2,Orthodox,42%,53%,0.0,0%,0.00,0%,154
Jul 01 1993,3.92,5.61,"5' 9""",Mario Bautista,69,11-2-0,Switch,50%,54%,1.1,66%,2.25,66%,135
Aug 19 1982,3.45,1.99,"5' 9""",Kyle Bradley,71,19-12-0 (1 NC),Orthodox,40%,58%,0.0,50%,0.65,40%,155
Oct 24 1981,2.32,2.34,"5' 8""",Mark Bocek,75,12-5-0,Orthodox,43%,60%,1.3,36%,3.65,31%,155
Oct 10 1989,5.26,0.79,"5' 10""",Marcin Bandel,,15-7-0,Orthodox,50%,23%,0.0,0%,0.00,0%,155
--,0.00,0.00,"5' 9""",Pat Benson,,3-5-3,,0%,0%,0.0,0%,0.00,0%,155
--,0.00,0.00,"6' 1""",Josh Bumgarner,,6-4-0,,0%,0%,0.0,0%,0.00,0%,170
--,0.00,0.00,"6' 0""",Mike Bourke,,10-16-1 (1 NC),Orthodox,0%,0%,0.0,0%,0.00,0%,275
--,2.55,2.91,--,Tom Blackledge,,10-7-0,Orthodox,61%,46%,0.0,0%,0.00,75%,205
Feb 07 1985,2.60,1.00,"5' 11""",Albert Cheng,,7-4-0,Orthodox,41%,71%,0.0,0%,0.00,0%,170
Dec 19 1987,0.57,0.85,"5' 10""",Darrion Caldwell,,10-1-0,,34%,60%,0.8,66%,3.41,100%,135
Jun 17 1993,3.19,4.16,"6' 0""",Luan Chagas,75,15-3-1,Orthodox,47%,62%,0.3,12%,0.32,85%,170
Jul 30 1987,5.90,2.19,"5' 9""",Anthony Christodoulou,,12-7-0,Orthodox,26%,45%,0.0,0%,0.00,40%,155
Dec 20 1964,2.62,1.88,"6' 1""",Mark Coleman,75,16-10-0,Orthodox,52%,40%,0.8,40%,3.89,50%,205
--,0.00,0.00,--,Edgar Cardenas,,4-1-0,,0%,0%,0.0,0%,0.00,0%,145
Jun 27 1970,3.65,1.55,"6' 2""",Mu Bae Choi,,12-6-0,Orthodox,49%,44%,1.0,75%,3.12,60%,230
Sep 01 1981,2.32,2.11,"6' 0""",Nick Catone,72,10-4-0,Southpaw,44%,63%,0.5,44%,3.71,83%,185
Mar 14 1982,9.69,1.60,"6' 2""",Marcos Conrado Jr.,,5-1-0,Orthodox,34%,35%,0.0,14%,1.84,0%,220
Mar 20 1979,2.92,4.25,"5' 11""",Daniel Cormier,72,22-3-0 (1 NC),Orthodox,52%,54%,0.4,44%,1.83,80%,235
Apr 10 1982,3.02,2.38,"6' 5""",Magnus Cedenblad,79,14-5-0,Orthodox,51%,40%,1.0,64%,2.87,66%,185
--,0.00,0.00,"5' 10""",Jonny Carson,,11-7-0,,0%,0%,0.0,0%,0.00,0%,155
--,2.40,1.72,"6' 1""",Mike Cook,,13-13-0,Orthodox,49%,46%,2.1,33%,1.03,55%,205
Apr 24 1989,3.87,1.67,"5' 6""",Ronaldo Candido,,6-0-0,Southpaw,42%,52%,5.0,53%,8.00,0%,125
Mar 11 1984,4.80,2.40,"5' 11""",Sako Chivitchian,,8-1-0,,27%,46%,0.0,0%,0.00,100%,155
--,0.00,0.00,"6' 2""",Larry Cureton,,0-2-0,Orthodox,0%,0%,0.0,0%,0.00,0%,240
--,0.00,0.00,"5' 8""",Travis Calanoc,,5-1-0,Orthodox,0%,0%,0.0,0%,0.00,0%,145
Jun 26 1985,2.61,1.91,"6' 2""",Adam Cella,,6-8-0,,42%,51%,1.3,75%,3.92,50%,170
Nov 25 1994,4.89,1.35,"6' 1""",Fabio Cherant,74,7-4-0,Southpaw,40%,38%,0.0,0%,0.00,0%,205
--,4.34,0.43,--,Everett Cummings,,12-0-0,,60%,45%,2.2,0%,0.00,0%,205
Sep 19 1980,5.62,3.69,"5' 6""",Heather Clark,64,7-6-0,Orthodox,49%,50%,0.3,4%,0.33,80%,115
Aug 04 1969,0.00,0.00,"5' 8""",Nikk Covert,,3-4-0,,0%,0%,0.0,0%,0.00,0%,185
Dec 07 1987,1.67,1.88,"6' 1""",Michael Chiesa,75,18-6-0,Southpaw,41%,54%,1.0,54%,3.39,60%,170
Jan 18 1995,6.07,1.40,"5' 3""",Santo Curatolo,62,6-2-0,Southpaw,39%,34%,0.0,33%,2.00,100%,125
--,0.00,0.00,"6' 8""",Rafael Carino,,2-1-1,Orthodox,0%,0%,0.0,0%,0.00,0%,245
Dec 10 1993,2.32,3.56,"5' 5""",Tracy Cortez,65,10-1-0,Orthodox,54%,59%,0.4,48%,2.80,71%,125
--,0.00,0.00,"5' 7""",Ricky Camp,,11-4-0,,0%,0%,0.0,0%,0.00,0%,135
Jun 04 1970,4.65,0.72,"5' 6""",Paul Creighton,,3-1-0,Southpaw,75%,30%,0.0,37%,5.37,0%,155
Nov 07 1989,6.51,3.29,"5' 6""",Vince Cachero,68,7-4-0,Orthodox,45%,43%,0.5,0%,0.00,18%,145
Jan 28 1982,0.00,0.00,"6' 1""",Cortez Coleman,,13-8-0,,0%,0%,0.0,0%,0.00,0%,185
Jul 19 1974,3.25,1.50,"6' 1""",Jeremiah Constant,,11-8-0 (1 NC),Orthodox,75%,43%,7.5,0%,0.00,0%,240
--,0.00,0.00,"5' 9""",John Campetella,,0-1-0,Orthodox,0%,0%,0.0,0%,0.00,0%,235
Oct 10 1982,0.00,0.00,"5' 9""",Ricky Calatayud,,16-2-0,,0%,0%,0.0,0%,0.00,0%,125
Jul 11 1981,2.87,1.60,"5' 6""",Josh Clopton,,6-2-1,Orthodox,64%,50%,0.0,66%,2.00,75%,145
Nov 30 1990,4.69,2.68,"5' 9""",Ivan Cole,,2-3-0,,36%,46%,0.0,0%,0.00,0%,135
May 01 1986,2.66,2.66,"5' 8""",Dakota Cochrane,,29-12-0,,75%,30%,0.0,33%,4.43,0%,155
May 13 1983,1.98,2.02,"5' 11""",Yan Cabral,73,13-3-0,Orthodox,47%,62%,1.2,35%,2.89,37%,155
Apr 16 1982,2.66,4.50,"5' 8""",Gina Carano,,7-1-0,Orthodox,47%,64%,1.6,66%,1.24,85%,145
Sep 02 1977,2.48,1.54,"5' 6""",Jeff Curran,69,36-18-1,Orthodox,31%,60%,1.2,12%,0.35,35%,135
Jun 28 1989,2.66,3.95,"5' 10""",Johnny Case,72,22-6-0,Orthodox,38%,61%,0.2,45%,1.70,72%,155
Jun 24 1991,6.39,3.15,"6' 2""",Brian Camozzi,78,7-5-0,Orthodox,26%,54%,0.7,0%,0.00,0%,170
Feb 08 1969,12.63,3.16,"6' 2""",Bo Cantrell,,10-10-0,Orthodox,16%,0%,0.0,0%,0.00,0%,235
Jul 24 1987,6.90,0.59,"6' 1""",Tim Caron,,7-1-0 (1 NC),Orthodox,50%,12%,0.0,0%,0.00,0%,185
Mar 31 1994,4.65,2.17,"5' 8""",Felipe Colares,69,10-4-0,Orthodox,45%,36%,0.5,24%,1.88,43%,145
Jun 10 1980,3.42,0.74,"5' 5""",Bendy Casimir,,20-14-2,Southpaw,27%,54%,0.0,0%,0.00,100%,145
Feb 22 1988,3.05,4.10,"5' 11""",Colby Covington,72,17-3-0,Orthodox,39%,55%,0.2,45%,4.05,72%,170
Jul 06 1994,7.58,6.53,"5' 9""",Randy Costa,73,6-4-0,Switch,46%,58%,0.0,0%,0.00,50%,135
Oct 30 1980,1.46,1.32,"7' 2""",Hong Man Choi,,4-5-0,Orthodox,26%,36%,0.0,100%,0.71,84%,330
May 25 1977,1.20,0.77,"6' 4""",Dos Caras Jr.,,9-5-0,Orthodox,23%,59%,0.0,0%,0.00,72%,225
Dec 17 1983,2.29,2.65,"5' 11""",John Cholish,74,8-3-0,Orthodox,49%,73%,0.4,31%,1.82,78%,155
Jul 02 1964,4.68,0.78,"6' 4""",Jose Canseco,,0-1-0,Orthodox,10%,62%,0.0,0%,0.00,0%,240
Mar 03 1972,0.00,0.00,--,Marc Cofer,,7-5-0,,0%,0%,0.0,0%,0.00,0%,185
--,0.61,1.21,"5' 6""",Alvin Cacdac,,18-13-0,Orthodox,66%,0%,0.0,0%,0.00,0%,125
Apr 26 1984,2.67,3.66,"6' 2""",Carlos Condit,75,32-14-0,Orthodox,39%,55%,1.0,46%,0.59,38%,170
--,5.60,4.93,--,Clint Coronel,,2-5-0,,32%,66%,0.0,0%,0.00,66%,155
May 26 1994,3.33,0.80,"5' 9""",Jack Cartwright,68,10-1-0,Orthodox,38%,29%,2.0,66%,6.00,0%,135
Nov 08 1989,2.95,2.95,"6' 3""",Allen Crowder,76,10-4-0 (1 NC),Orthodox,51%,56%,1.2,33%,1.85,100%,245
Aug 15 1977,0.00,0.00,--,John Clarke,,1-1-0,,0%,0%,0.0,0%,0.00,0%,170
Apr 12 1990,2.86,2.94,"6' 0""",Devin Clark,75,13-7-0,Orthodox,55%,44%,0.1,35%,2.30,55%,205
Dec 26 1996,2.33,2.63,"5' 6""",SeungGuk Choi,64,6-1-0,Orthodox,43%,61%,0.0,33%,1.50,90%,125
Jun 09 1996,3.40,5.27,"5' 6""",Clayton Carpenter,68,6-0-0,Orthodox,51%,59%,0.0,50%,3.00,0%,125
May 10 1973,0.00,0.00,"5' 6""",Dave Cochran,,26-29-1,,0%,0%,0.0,0%,0.00,0%,155
Jul 03 1995,8.74,9.32,"6' 0""",Charlie Campbell,,6-2-0,Orthodox,43%,57%,0.0,0%,0.00,100%,155
Jun 05 1992,4.07,2.93,"5' 8""",Phil Caracappa,70,6-1-0,Orthodox,50%,29%,1.0,8%,1.00,100%,135
Jun 15 1981,3.76,2.27,"5' 11""",Kevin Casey,77,9-5-2 (2 NC),Southpaw,53%,46%,0.4,22%,0.79,27%,185
Apr 24 1978,1.51,2.92,"6' 4""",Marcio Cruz,,8-3-0,Orthodox,46%,68%,1.6,7%,0.53,37%,232
Jul 15 1987,3.10,2.65,"5' 11""",Kevin Croom,73,21-15-0 (1 NC),Orthodox,34%,41%,0.5,5%,0.48,30%,135
Jul 22 1986,5.80,2.72,"5' 8""",Cain Carrizosa,,10-3-0,Orthodox,42%,51%,0.0,0%,0.00,14%,155
Nov 30 1982,0.00,0.00,"5' 9""",Len Bentley,,10-6-0,,0%,0%,0.0,0%,0.00,0%,155
May 15 1978,5.73,2.40,"6' 1""",Josh Burns,,8-10-0,,48%,32%,0.0,0%,0.00,100%,244
--,0.00,0.00,"6' 0""",Igor Borisov,,1-1-0,Orthodox,0%,0%,0.0,0%,0.00,0%,235
Jan 04 1975,3.53,4.38,"6' 2""",Shane Carwin,80,12-2-0,Orthodox,47%,53%,0.0,33%,1.42,42%,265
Jun 14 1986,5.87,4.41,"5' 9""",Chris Barnett,75,23-8-0,Orthodox,48%,40%,0.0,0%,0.00,33%,265
Aug 23 1983,2.80,2.15,"5' 8""",Joe Brammer,,7-3-1,Orthodox,31%,56%,0.0,50%,0.81,50%,155
--,5.91,0.59,"5' 9""",Justin Bruckmann,,7-3-0,Orthodox,66%,16%,0.0,0%,0.00,33%,170
--,0.00,0.00,"6' 4""",Derek Bohi,,8-5-0,,0%,0%,0.0,0%,0.00,0%,260
Jan 25 1982,8.46,4.03,"5' 10""",Junior Barata,,9-3-1,Orthodox,33%,34%,0.0,0%,0.00,0%,170
Apr 06 1985,3.64,3.97,"5' 4""",Marcus Brimage,71,7-7-0,Southpaw,35%,56%,0.0,100%,0.56,80%,135
Apr 01 1996,3.27,3.07,"6' 3""",Marcos Brigagao,76,11-1-0,Southpaw,43%,25%,0.0,0%,0.00,36%,205
--,0.00,0.00,--,Chris Bostick,,6-3-0,,0%,0%,0.0,0%,0.00,0%,--
Apr 13 1983,0.00,0.00,--,Terrell Brown,,3-1-0,,0%,0%,0.0,0%,0.00,0%,185
--,1.53,0.27,"6' 2""",Gregory Bouchelaghem,,5-4-0,Switch,21%,36%,0.0,0%,0.00,50%,183
Nov 03 1984,2.19,1.71,"5' 10""",Humberto Brown Morrison,,4-6-0,,50%,62%,0.0,25%,1.43,0%,145
Feb 11 1995,3.08,3.65,"5' 8""",Joanderson Brito,72,14-3-1,Orthodox,49%,50%,0.5,70%,3.76,0%,145
--,0.00,0.00,--,Chris Barnhizer,,2-3-0,,0%,0%,0.0,0%,0.00,0%,--
--,0.00,0.00,"6' 0""",Frederick Brown,,3-2-0,,0%,0%,0.0,0%,0.00,0%,235
Feb 09 1987,1.55,2.32,"5' 11""",Shonte Barnes,76,6-2-1,Southpaw,38%,67%,0.0,0%,0.00,60%,185
Nov 30 2001,2.04,2.57,"5' 9""",Tereza Bleda,71,6-1-0,Orthodox,50%,44%,1.1,25%,1.13,83%,125
--,1.73,0.43,"5' 7""",Colley  Bradford,,0-1-0,,25%,50%,0.0,50%,19.42,100%,145
Nov 17 1976,4.86,2.43,"5' 9""",Ashe Bowman,,9-11-0,,42%,57%,0.0,0%,0.00,0%,155
